date,eto,precipitation
2026-01-01,3.1095484087975014,1.9502976915191426
2026-01-02,2.533717783353476,0.0
2026-01-03,2.6895208118578036,0.0
2026-01-04,3.4865880653456025,0.0
2026-01-05,2.6774440602324914,0.0
2026-01-06,2.8308892712498155,0.0
2026-01-07,3.7008359854557527,0.0
2026-01-08,3.173990244742199,0.0
2026-01-09,2.8226012191873453,3.7218880181067537
2026-01-10,3.4931981542927066,2.234188176154696
2026-01-11,3.1727124046844684,12.228293466010422
2026-01-12,3.100376417429679,0.0
2026-01-13,3.004309299697602,0.0
2026-01-14,2.854485089666727,0.0
2026-01-15,3.8647516209004467,0.0
2026-01-16,3.865270142772707,0.0
2026-01-17,3.4993019386597313,21.476167666484898
2026-01-18,3.1195013512242555,0.0
2026-01-19,3.798160592264611,0.0
2026-01-20,2.836983312864053,0.0
2026-01-21,2.7566174350623145,11.417092907782575
2026-01-22,2.9303243491792683,0.0
2026-01-23,3.5124372148053564,8.055501389085638
2026-01-24,3.0843782406909392,0.0
2026-01-25,3.200021255947964,0.0
2026-01-26,3.5703638996513933,0.0
2026-01-27,3.404515847021288,0.0
2026-01-28,2.6127553048652628,0.0
2026-01-29,2.6905199614856765,0.0
2026-01-30,4.212162167677926,0.0
2026-01-31,3.7206894385083102,0.0
2026-02-01,4.139476280394446,0.0
2026-02-02,3.072146872407608,6.034264775708126
2026-02-03,4.11141158058317,0.0
2026-02-04,3.7219409543747846,0.0
2026-02-05,3.8893611476560688,0.0
2026-02-06,3.627957946990576,0.0
2026-02-07,3.268666893461143,0.0
2026-02-08,3.383758123945942,0.0
2026-02-09,3.915320653414642,0.0
2026-02-10,4.35146372464641,0.0
2026-02-11,2.694703198489646,0.0
2026-02-12,4.0322804554364176,0.0
2026-02-13,3.445412757476179,0.0
2026-02-14,3.2602566753005444,0.0
2026-02-15,3.6126607793101657,0.0
2026-02-16,4.626869411952776,0.0
2026-02-17,4.413129622802469,0.0
2026-02-18,3.742367015693458,0.0
2026-02-19,3.74293690797814,0.0
2026-02-20,3.399494679147393,0.0
2026-02-21,4.516818401604536,0.0
2026-02-22,2.8689618536666797,1.8164533963886051
2026-02-23,4.114949343448571,0.0
2026-02-24,3.368455603758781,0.0
2026-02-25,3.2813090116022807,0.0
2026-02-26,3.7978171264566356,0.0
2026-02-27,4.193278295852529,0.0
2026-02-28,3.58482339745388,7.578773108365623
2026-03-01,3.398001203587986,0.0
2026-03-02,3.26473126652582,5.806373346381113
2026-03-03,4.394165320062123,0.0
2026-03-04,4.099480481367425,0.0
2026-03-05,3.9814282148202342,0.0
2026-03-06,4.152586679805948,0.0
2026-03-07,4.299245789682667,6.257454277339452
2026-03-08,5.025836955643665,0.0
2026-03-09,3.85586217381704,0.0
2026-03-10,4.164796713975917,0.0
2026-03-11,4.400877069912669,0.0
2026-03-12,3.5952270961572443,0.0
2026-03-13,4.205901473004739,0.0
2026-03-14,4.1205629377070485,11.038048934153126
2026-03-15,4.440295504820162,0.0
2026-03-16,3.9466109938670946,0.0
2026-03-17,4.029928554107198,0.0
2026-03-18,4.420006611217232,0.0
2026-03-19,4.061337989577363,0.0
2026-03-20,5.289983891471416,0.0
2026-03-21,5.151004970892379,0.0
2026-03-22,4.081739114521834,0.0
2026-03-23,5.342003278002662,0.0
2026-03-24,4.193003184166832,0.0
2026-03-25,4.711085032806236,0.0
2026-03-26,4.979727179871456,0.0
2026-03-27,5.319975734020331,0.0
2026-03-28,3.9296220942164872,0.0
2026-03-29,4.325044777773901,0.0
2026-03-30,4.949878397183548,0.0
2026-03-31,5.104857075875939,0.0
2026-04-01,4.600811886045116,0.0
2026-04-02,4.039566150619932,6.1109615656939695
2026-04-03,4.779228240012957,0.0
2026-04-04,4.487176458605113,9.943392714295538
2026-04-05,4.620237664689009,0.0
2026-04-06,4.644978606239601,0.0
2026-04-07,4.507268221785734,0.0
2026-04-08,5.772683144972932,0.0
2026-04-09,4.50619796263718,0.0
2026-04-10,5.452730075684437,0.0
2026-04-11,5.173278457700393,0.0
2026-04-12,4.986853257481699,0.0
2026-04-13,4.973752063673477,0.0
2026-04-14,4.554964592457693,0.0
2026-04-15,5.449921678629557,9.472946107190682
2026-04-16,5.525842261077502,0.0
2026-04-17,4.643688539370214,0.0
2026-04-18,5.5875700021459185,0.0
2026-04-19,4.5527026767964625,0.0
2026-04-20,5.07533124537009,0.0
2026-04-21,5.146761145216457,0.0
2026-04-22,5.290529569868068,0.0
2026-04-23,5.798032580042257,10.223347629842854
2026-04-24,4.786762795115622,0.0
2026-04-25,5.393190333227796,0.0
2026-04-26,5.678435758267655,15.795956039034936
2026-04-27,5.144162151093728,0.0
2026-04-28,5.451656247879268,0.0
2026-04-29,4.7966536781176945,0.0
2026-04-30,5.288073456174301,0.0
